"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Bijan Robinson",ATL,"RB1","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"2",1,"Jahmyr Gibbs",DET,"RB2","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-1"
"3",1,"Ja'Marr Chase",CIN,"WR1","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"4",1,"Puka Nacua",LAR,"WR2","11","Coach Upside rating","Coach Bust rating","1 out of 5 stars","0"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"6",1,"Amon-Ra St. Brown",DET,"WR4","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2"
"7",1,"Christian McCaffrey",SF,"RB3","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"8",2,"CeeDee Lamb",DAL,"WR5","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3"
"9",2,"Jonathan Taylor",IND,"RB4","13","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-2"
"10",2,"Justin Jefferson",MIN,"WR6","6","","","5 out of 5 stars","-1"
"11",2,"James Cook III",BUF,"RB5","7","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"12",2,"Ashton Jeanty",LV,"RB6","13","","","2 out of 5 stars","0"
"13",2,"Drake London",ATL,"WR7","11","","","3 out of 5 stars","+8"
"14",2,"De'Von Achane",MIA,"RB7","6","","","3 out of 5 stars","0"
"15",2,"Nico Collins",HOU,"WR8","8","","","3 out of 5 stars","+8"
"16",3,"Saquon Barkley",PHI,"RB8","10","","","4 out of 5 stars","-3"
"17",3,"Brock Bowers",LV,"TE1","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1"
"18",3,"Chase Brown",CIN,"RB9","6","","","2 out of 5 stars","-1"
"19",3,"A.J. Brown",NE,"WR9","11","","","2 out of 5 stars","+1"
"20",3,"Omarion Hampton",LAC,"RB10","7","","","3 out of 5 stars","-5"
"21",3,"George Pickens",DAL,"WR10","14","","","2 out of 5 stars","+4"
"22",3,"Trey McBride",ARI,"TE2","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"23",3,"Derrick Henry",BAL,"RB11","13","","","3 out of 5 stars","-1"
"24",3,"Kenneth Walker III",KC,"RB12","5","","","3 out of 5 stars","-6"
"25",3,"Chris Olave",NO,"WR11","8","","","3 out of 5 stars","+2"
"26",3,"Josh Allen",BUF,"QB1","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"27",3,"Rashee Rice",KC,"WR12","5","","","2 out of 5 stars","+1"
"28",4,"DeVonta Smith",PHI,"WR13","10","","","4 out of 5 stars","+1"
"29",4,"Jeremiyah Love",ARI,"RB13","14","","","2 out of 5 stars","-3"
"30",4,"Tetairoa McMillan",CAR,"WR14","5","","","2 out of 5 stars","+11"
"31",4,"Tee Higgins",CIN,"WR15","6","","","4 out of 5 stars","+6"
"32",4,"Kyren Williams",LAR,"RB14","11","","","5 out of 5 stars","-2"
"33",4,"Zay Flowers",BAL,"WR16","13","","","4 out of 5 stars","+1"
"34",4,"Lamar Jackson",BAL,"QB2","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+10"
"35",4,"Drake Maye",NE,"QB3","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+23"
"36",4,"Breece Hall",NYJ,"RB15","13","","","3 out of 5 stars","-5"
"37",4,"Malik Nabers",NYG,"WR17","8","","","4 out of 5 stars","+2"
"38",4,"Josh Jacobs",GB,"RB16","11","","","4 out of 5 stars","0"
"39",4,"Garrett Wilson",NYJ,"WR18","13","","","4 out of 5 stars","+4"
"40",4,"Colston Loveland",CHI,"TE3","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-5"
"41",4,"Ladd McConkey",LAC,"WR19","7","","","2 out of 5 stars","+1"
"42",4,"Javonte Williams",DAL,"RB17","14","","","4 out of 5 stars","-10"
"43",4,"Emeka Egbuka",TB,"WR20","10","","","4 out of 5 stars","-7"
"44",4,"Jaylen Waddle",DEN,"WR21","10","","","2 out of 5 stars","+7"
"45",4,"Travis Etienne Jr.",NO,"RB18","8","","","3 out of 5 stars","-12"
"46",4,"Joe Burrow",CIN,"QB4","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3"
"47",4,"Terry McLaurin",WAS,"WR22","7","","","2 out of 5 stars","+5"
"48",5,"Luther Burden III",CHI,"WR23","10","","","3 out of 5 stars","-3"
"49",5,"Davante Adams",LAR,"WR24","11","","","1 out of 5 stars","+7"
